test_index,true_label,predicted_label,predicted_confidence
0,dont_understand,understand,0.17915062606334686
3,incorrect,understand,0.17906630039215088
4,again,hearing_person,0.36297139525413513
5,hearing_person,again,0.4150213301181793
6,how_are_you,understand,0.1790425181388855
8,incorrect,understand,0.1790592074394226
10,how_are_you,understand,0.17902491986751556
11,delicious,understand,0.17902635037899017
13,dont_understand,understand,0.1791505664587021
15,how_are_you,understand,0.17903311550617218
18,dont_understand,understand,0.17912888526916504
20,dont_understand,understand,0.1791539043188095
23,incorrect,understand,0.17906445264816284
25,incorrect,understand,0.17905035614967346
26,correct,again,0.4113019108772278
27,deaf_person,understand,0.17903929948806763
29,correct,hearing_person,0.3743440508842468
30,correct,again,0.4266413152217865
32,delicious,understand,0.1788957715034485
33,deaf_person,understand,0.1790446639060974
34,correct,again,0.4258768856525421
35,deaf_person,understand,0.17911957204341888
36,delicious,understand,0.17907945811748505
37,deaf_person,understand,0.17902956902980804
38,how_are_you,understand,0.17904500663280487
40,incorrect,understand,0.17905771732330322
41,correct,hearing_person,0.34864944219589233
42,how_are_you,understand,0.17903335392475128
43,delicious,understand,0.1791067272424698
48,delicious,understand,0.17902041971683502
49,dont_understand,understand,0.17915040254592896
